,Company,HQ,Address**,City,ST,ZIP,County,Phone,Website,NAICS Code,Industry,Function,Source,St. Louis Employees,year
27,"Supervalu Inc. (Shop ‘n Save, Sav A Lot)","Eden Prairie, MN",10461 Manchester Rd.,St. Louis,MO,63122,St. Louis County,(314) 984-0900,www.shopnsave.com,445110,Retail Trade,Grocery Chain,7,4300,2016
28,St. Louis Public Schools,St. Louis MSA,801 N 11th Street,St. Louis,MO,63101,City of St. Louis,(314) 231-3720,www.slps.org,611110,Educational Services,Public School System,6,4226,2016
29,U.S. Bancorp ,"Minneapolis, MN",505 N. 7th St.,St. Louis,MO,63101,City of St. Louis,(314) 418-2424,www.usbank.com,522390,Finance & Insurance,National Bank,6,4100,2016
30,Anheuser-Busch InBev,"New York, NY",One Busch Place,St. Louis,MO,63118,City of St. Louis,(800) DIALBUD,www.anheuserbusch.com,312120,Manufacturing,Brewery,7,4000,2016
31,CitiMortgage,St. Louis MSA,1000 Technology Drive,O'Fallon,MO,63368,St. Charles County,(800) 667-8424,www.careers.citigroup.com,522390,Finance & Insurance,Mortgage Processing,6,4000,2016
32,Dierbergs Markets,St. Louis MSA,16690 Swingley Ridge Rd.,Chesterfield,MO,63017,St. Louis County,(636) 532-8884,www.dierbergs.com,445110,Retail Trade,Grocery Chain,6,4000,2016
33,Home Depot USA Inc,"Atlanta, GA",3202 S Kingshighway Blvd,St. Louis,MO,63139-1114,City of St. Louis,(314) 865-0700,www.homedepot.com,444110,Retail Trade,Ret Lumber/Building Materials Equipment Rental/Leasing,8,3972,2016
34,St. Anthony's Medical Center ,St. Louis MSA,10010 Kennerly Rd.,St. Louis,MO,63128,St. Louis County,(314) 525-1000,www.stanthonysmedcenter.com,622110,Health Care & Social Assistance,Hospital System,6,3723,2016
35,General Motors ,"Detroit, MI",1500 E. Route A,Wentzville,MO,63385,St. Charles County,(636) 327-5711,www.gm.com,336111,Manufacturing,Auto Plant,6,3700,2016
36,St. Luke's Hospital,St. Louis MSA,232 S. Woods Mill Rd.,Chesterfield,MO,63017,St. Louis County,(314) 434-1500,www.stlukes-stl.com,622110,Health Care & Social Assistance,Hospital System,6,3666,2016
37,St. Louis Community College District ,St. Louis MSA,300 S. Broadway,St. Louis,MO,63102,City of St. Louis,(314) 539-5000,www.stlcc.edu,611210,Educational Services,Colleges & Universities (General and Liberal Arts & Sciences),7,3450,2016
38,Rockwood School District ,St. Louis MSA,111 E. North St.,Eureka,MO,63025,St. Louis County,(636) 458-7337,www.rockwood.k12.mo.us,611110,Educational Services,Public School System,7,3328,2016
39,University of Missouri – St. Louis ,St. Louis MSA,One University Boulevard,St. Louis,MO,63121,St. Louis County,(314) 516-5000,www.umsl.edu,611310,Educational Services,State University,7,3189,2016
40,United Parcel Service Inc. ,"Altanta, GA",13818 Rider Trail N.,Earth City,MO,63045,St. Louis County,(800) 742-5877,www.ups.com,492110,Transportation & Warehousing,Package Delivery,7,3142,2016
41,Lodging Hospitality Management,St. Louis MSA,"111 West Port Plaza, Ste. 500",St. Louis,MO,63146,St. Louis County,(314) 434-9500,www.lhmc.com,721110,Accommodation & Food Services,Hotel Management,6,3000,2016
42,National Geospatial-Intelligence Agency,"Washington, D.C.",3200 S. Second St. Mail Stop L-52,St. Louis,MO,63118,St. Louis County,(314) 260-5032,www.nga.mil,928110,Public Administration,National Security,9,3000,2016
43,Lutheran Senior Services,St. Louis MSA,709 S Laclede Station Rd,St. Louis,MO,63119-4911,St. Louis County,(314) 968-5570,www.lssmo.org,621610,Health Care & Social Assistance,Home Health Care Services,6,2947,2016
44,Fort Zumwalt School District,St. Louis MSA,1251 Turtle Creek Dr,O Fallon,MO,63366-5948,St. Charles County,(636) 379-0300,www.fz.k12.mo.us,611110,Educational Services,Elementary/Secondary School,6,2755,2016
45,Lowe's Home Centers Inc,"Mooresville, NC",290 Thf Blvd,Chesterfield,MO,63005-1140,St. Louis County,(636) 728-0163,www.lowes.com,444110,Retail Trade,Ret Lumber/Building Mtrl Whol Lumber/Plywd/Millwk Ret Household Appliances Whol Appliances/Tv/Radio,7,2753,2016
46,Charter Communications ,"Stanford, CT",12405 Powerscourt Dr.,St. Louis,MO,63131,St. Louis County,(314) 965-0555,www.charter.com,515120,Information,Cable Television,6,2700,2016
47,Panera Bread Company,St. Louis MSA,6710 Clayton Road,Richmond Heights,MO,63117,St. Louis County,(314) 633-7100,www.panerabread.com,722110,Accommodation & Food Services,Fast Food Chain,6,2700,2016
48,Delmar Gardens Enterprises ,St. Louis MSA,14805 N. Outer 40 Rd. Suite 300,Chesterfield,MO,63017,St. Louis County,(636) 733-7000,www.delmargardens.com,623110,Health Care & Social Assistance,Nursing Homes,6,2697,2016
49,Parkway School District,St. Louis MSA,455 N. Woods Mill Road,Chesterfield,MO,63017,St. Louis County,(314) 415-8100,http://www.pkwy.k12.mo.us/,,Educational Services,Public School Districts,7,2610,2016
50,Emerson Electric Co. ,St. Louis MSA,8000 West Florissant Avenue ,St. Louis,MO,63136,St. Louis County,(314) 553-2000,www.emerson.com,333,Manufacturing,Electrical Engineering,5,2600,2016
51,Mallinckrodt,St. Louis MSA,1827 Belt Way Dr.,St. Louis,MO,63114,St. Louis County,(314) 427-1555,www.covidien.com,334517,Manufacturing,Biotech - Pharmaceuticals and Medical Devices,6,2500,2016
52,Verizon,,500 Technology Dr.,Weldon Spring,MO,63304,St. Charles County,(636) 793-6552,www.verizon.com,513310,Information,Telephone company,"5, 6",2500,2016
53,Southern Illinois University Edwardsville ,St. Louis MSA,70 Hairpin Dr.,Edwardsville,IL,62026,Madison County,(618) 650-2000,www.siue.edu,6113110,Educational Services,Colleges & Universities (General and Liberal Arts & Sciences),6,2480,2016
54,Hazelwood School District,St. Louis MSA,15955 New Halls Ferry Road ,Florissant,MO,63031,St. Louis County, (314) 953-5000 ,www.hazelwoodschools.org,611110,Educational Services,School district,6,2440,2016
55,Francis Howell School District,St. Louis MSA,2549 Hackmann Rd,St. Charles,MO,63303-5452,St. Charles County,(636) 851-4900,www.fhsd.k12.mo.us,611110,Educational Services,Elementary/Secondary School,6,2402,2016
56,Bi-State Development Agency,St. Louis MSA,707 N. First St.,St. Louis,MO,63102,City of St. Louis,(314) 982-1400,www.metrostlouis.org,485,Transportation & Warehousing,Public Transporation System,6,2400,2016
57,Hospital Sisters Health System,"Springfield, IL",211 South Third Street,Belleville,IL,62220,St. Clair County,(618) 234-2120,www.hshs.org,622110,Health Care & Social Assistance,Hospital System,3,2350,2016
58,American Staffing,,11424 Dorsett Rd.,St. Louis,MO,63043,St. Louis County,(314) 872-7070,www.americanstaffingstl.com,541612,Professional & Scientific & Technical Services,Temporary help placement service,6,2314,2016
59,MasterCard Worldwide,"Purchase, NY",2200 MasterCard Blvd.,O'Fallon,MO,63366,St. Charles County,(636) 329-1479,www.mastercard.com,522210,Finance & Insurance,Financial Transactions Processing,6,2300,2016
60,Penn National Gaming - Hollywood Casino ,"Wyomissing, PA",777 Casino Center Dr.,Maryland Heights,MO,63043,St. Louis County,(314) 770-8100,www.hollywoodcasinostlouis.com,7132,"Arts, Entertainment & Recreation",Hotel and Casino,8,2200,2016
61,Securitas,"Stockholm, Sweden",326 S. 21st St.,St. Louis,MO,63103,City of St. Louis,(314) 291-1133,www.securitas,56162,"Administrative & Support, Waste Management & Remediation Services",Security services,2,2187,2016
62,U.S. Steel ,"Pittsburgh, PA",20th & State Street,Granite City,IL,62040,Madison County,(618) 451-3456,www.ussteel.com,324199,Manufacturing,Steel Refinery,5,2153,2016
63,Memorial Hospital - Belleville ,St. Louis MSA,4500 Memorial Drive,Belleville,IL,62226,St. Clair County,(618) 233-7750,www.memhosp.com,622110,Health Care & Social Assistance,Hospital,6,2131,2016
64,Young Men's Christian Association,St. Louis MSA,12736 Southfork Rd,St. Louis,MO,63128-3262,St. Louis County,(314) 843-6703,www.ymcastlouis.org,722211,Other Services,Social Services,8,2117,2016
65,Nestle Purina PetCare Co. ,"Vevey, Switzerland",One Checkerboard Square,St. Louis,MO,64164,City of St. Louis,(314) 982-1000,www.purina.com,311111,Manufacturing,Biotech - Pet Food,6,2082,2016
66,MERS / Missouri Goodwill Industries,St. Louis MSA,1727 Locust St.,St. Louis,MO,63103,City of St. Louis,(314) 241-3464,www.mersgoodwill.org,813319,Other Services,Social Services,6,2056,2016
67,Bank of America,"Charlotte, NC",100 North Broadway,St. Louis,MO,63102,City of St. Louis,314-466-4609,www.bankofamerica.com,522110,Finance & Insurance,National Bank,7,2000,2016
68,Centene Corp .,St. Louis MSA,"7711 Carondelet Ave., Suite 800",Clayton,MO,63105,St. Louis County,(314) 725-4477,www.centene.com,524114,Finance & Insurance,Health Insurance Company,7,2000,2016
69,Veterans Health Administration ,"Washington, D.C.",915 N. Grand Blvd.,St. Louis,MO,63106,City of St. Louis,(800) 228-5459,www.va.gov,622110,Health Care & Social Assistance,Health Care System,8,2000,2016
70,Sigma-Aldrich Co. ,St. Louis MSA,3050 Spruce St.,St. Louis,MO,63103,City of St. Louis,(800) 521-8956,www.sigmaaldrich.com,3251,Manufacturing,Biotech - Chemical Manufacturing/Biotech,5,1900,2016
71,Scottrade ,St. Louis MSA,700 Maryville Centre,St. Louis,MO,63141,St. Louis County,(800) 888-1980,www.scottrade.com,523120,Finance & Insurance,Stock Trading,6,1877,2016
72,Wentzville R-IV School District ,St. Louis MSA,One Campus Dr.,Wentzville,MO,63385,St. Charles County,(636) 327-3800,www.wentzville.k12.mo.us,611110,Educational Services,Public School Districts,5,1872,2016
73,Steak N. Shake Inc.,"Indianapolis, IN",12173 Prichard Farm Rd.,Maryland Heights,MO,63043,St. Louis County,(314) 298-1323,www.steaknshake.com,722110,Accommodation & Food Services,Restaurant chain,1,1870,2016
74,Sears Holdings Corp.,"Hoffman Estates, IL",15 Crestwood Plz,St. Louis,MO,63126-1702,St. Louis County,(314) 968-7600,www.sears.com,452111,Retail Trade,Dept Stores Non-Disc,1,1865,2016
75,Fox C-6 School District,St. Louis MSA,745 Jeffco Blvd,Arnold,MO,63010,Jefferson County,(636) 296-8000,http://www.fox.k12.mo.us,611110,Educational Services,Public elementary and secondary schools,8,1800,2016
76,Macy's Inc. ,"Cincinnati, OH",,St. Louis,MO,,St. Louis County,(314) 342-6300,www.macys.com,452111,Retail Trade,Macy's Department Stores,7,1800,2016
77,Pinnacle Entertainment Corp.,"Las Vegas, NV",999 N. Second St.,St. Louis,MO,63102,City of St. Louis,(314) 450-5000,www.lumierplace.com,711212,"Arts, Entertainment & Recreation",Casinos and hotels,2,1800,2016
78,Laclede Group,St. Louis MSA,720 Olive St.,St. Louis,MO,63101,City of St. Louis,(314) 342-0500,www.lacledegas.com,221210,Utilities,Gas Utility,5,1762,2016
79,Maritz Inc. ,St. Louis MSA,1375 N. Highway Dr.,Fenton,MO,63099,St. Louis County,(636) 827-4000,www.maritz.com,488490,Professional & Scientific & Technical Services,Travel and Business Services,6,1705,2016
80,Kmart Corp,NOT St. Louis,11978 Saint Charles Rock Rd,Bridgeton,MO,63044-2636,St. Louis County,(314) 739-8800,www.kmart.com,452112,Retail Trade,Dept Stores Discount,1,1670,2016
81,Ameristar Casinos Inc. ,"Las Vegas, NV",1260 South Main St.,St. Charles,MO,63302,St. Charles County,(800) 325-7777,www.ameristar.com,7132,"Arts, Entertainment & Recreation",Hotel and Casino,6,1500,2016
82,Pasta House Co. ,St. Louis MSA,1143 Macklind Ave.,St. Louis,MO,63110,City of St. Louis,(314) 535-6644,www.pastahouse.com,722110,Accommodation & Food Services,Restaurants - Chains,,1500,2016
83,WestRock,"Richmond, VA",Six City Place Dr.,Creve Coeur,MO,63141,St. Louis County,(314) 656-5300,www.rocktenn.com,322214,Manufacturing,Cardboard Boxes,5,1500,2016
84,Magellen Health Services Inc. ,,13736 Riverport Dr Fl 3,Maryland Heights,MO,63043,St. Louis County,(800) 588-8535,www.magellanhealth.com,622110,Health Care & Social Assistance,Behavioral Health,6,1495,2016
85,True Manufacturing Company Inc. ,St. Louis MSA,2001 East. Terra Lane,O'Fallon,MO,63366,St. Charles County,(636) 240-2400,www.truemfg.com,336312,Manufacturing,HVAC & Refrigeration Equipment,6,1475,2016
86,JC Penney Corp Inc,"Dallas, TX",100 S County Center Way,St. Louis,MO,63129-1094,St. Louis County,(314) 487-2500,www.jcpenneyinc.com,452111,Retail Trade,Department Store,8,1465,2016
87,Easter Seals Midwest ,St. Louis MSA,"13545 Barrett Parkway Drive, Suite 300",Ballwin,MO,63021,St. Louis County,(314) 394-7100,www.eastersealsmidwest.org,,Social Services,"Community Living, Employment and Autism Services for Individuals with Developmental Disabilities ",6,1453,2016
88,Catholic Charities,,4532 Lindell Blvd.,St. Louis,MO,63108,City of St. Louis,(314) 367-5500,www.ccstl.org,,Other Services,"Provides services for children, families, individuals and seniors",6,1439,2016
89,Olin Corp ,St. Louis MSA,190 Carondelet Plaza,Clayton,MO,63105,St. Louis County,(314) 480-1400,www.olin.com,3251,Manufacturing,Chemical Manufacturing,8,1424,2016
90,Southwestern Illinois College,St. Louis MSA,2500 Carlyle Rd.,Belleville,IL,62221,St. Clair County,(618) 235-2700,www.swic.edu,611310,Educational Services,Colleges & Universities (General and Liberal Arts & Sciences),5,1403,2016
91,Pizza Hut,," 2127 Innerbelt Bus. Ctr., Ste. 125",St. Louis,MO,63114,St. Louis,(314) 562-5000,www.pizzahut.com,722211,Accommodation & Food Services,Pizza restaurant,1,1363,2016
92,World Wide Technology ,St. Louis MSA,60 Weldon Parkway,St. Louis,MO,63043,St. Louis County,(314) 569-7000,www.wwt.com,518210,Wholesale Trade,Computer systems integrator,6,1350,2016
93,St. Louis Cardinals LLC ,St. Louis MSA,"100 S. Fourth St., Suite 1200",St. Louis,MO,63102,City of St. Louis,(314) 345-9600,www.stlcardinals.com,711211,"Arts, Entertainment & Recreation",Major League Baseball team,6,1310,2016
94,Jack In The Box Inc.,NOT St. Louis,13760 Shoreline Dr.,Earth City,MO,63045,St. Louis County,(314) 298-0070,www.jackinthebox.com,72211,Accommodation & Food Services,Fast Food Chain,1,1307,2016
95,DRS Sustainment Systems,,201 Evans Lane,St. Louis,MO,63121,St. Louis County,(31) 533-4000,www.drs.com,3362,Manufacturing,Motor Vehicle Products,3,1300,2016
96,GKN Aerospace North America ,NOT St. Louis,"142 McDonnell Blvd., Bldg. 1",St. Louis,MO,63134,St. Louis County,(314) 264-3000,www.gkn.com,336411,Manufacturing,Aerospace Manufacturing,8,1300,2016
97,Interstate Cleaning Corp. ,St. Louis MSA,1566 North Warson Rd.,St. Louis,MO,63132,St. Louis County,(800) 481-0566,,561720,"Administrative & Support, Waste Management & Remediation Services",Office Cleaning,8,1300,2016
98,Jefferson Memorial Hospital ,St. Louis MSA,1400 US Highway 61 South,Crystal City,MO,63019,Jefferson County,(636) 933-1000,www.jeffersonmemorial.org,622110,Health Care & Social Assistance,Hospital,6,1300,2016
99,CenturyLink & Savvis,"Monroe, LA",1 Savvis Pky.,Town and Country,MO,63385,St. Louis County,(314) 628-7000,www.centurylinktechnology.com,517110,Information,Telecommunications,"6,7",1277,2016
100,Hardee's Food Systems Inc.,St. Louis MSA,"100 N. Broadway, Ste. 1200",St. Louis,MO,63102,City of St. Louis,(314) 259-6200,www.hardees.com,72211,Accommodation & Food Services,Fast Food Chain,1,1242,2016
101,Commerce Bancshares Inc. ,"Kansas City, MO",8000 Forsyth Blvd.,Clayton,MO,63105,St. Louis County,(314) 726-2255,www.commercebank.com,551111,Finance & Insurance,Banking Network,6,1222,2016
102,Starbucks Coffee Company,"Seattle, WA","2055 Craigshire, Ste. 300",St. Louis,MO,63146,City of St. Louis,(314) 692-8595,,722211,Accommodation & Food Services,Coffee,5,1200,2016
103,U.S. Department of Agriculture,"Washington, D.C.",4300 Goodfellow Blvd.,St. Louis,MO,63120,City of St. Louis,(314) 538-4203,www.usda.gov,,Public Administration,,6,1200,2016
104,Whelan Security Co. ,St. Louis MSA,1699 S. Hanley Rd.,St. Louis,MO,63144,St. Louis County,(314) 644-3227,www.whelansecurity.com,519190,"Administrative & Support, Waste Management & Remediation Services",Business Security,6,1200,2016
105,Coldwell Banker Gundaker,,111 Chesterfield Towne Ctr,Chesterfield,MO,63005-1230,St. Louis County,(636) 532-0200,www.sistersinsales.com,531210,Other Services,Real Estate Agent/Manager,8,1189,2016
106,Dillard's Inc,,1105 Saint Louis Galleria,St. Louis,MO,63117-1159,St. Louis County,(314) 725-8363,www.dillards.com,452111,Retail Trade,Department Store,8,1150,2016
107,Kohl's Department Stores Inc,,115 Gravois Bluffs Plaza Dr,Fenton,MO,63026-4013,St. Louis County,(636) 349-9952,www.kohls.com,452111,Retail Trade,Department Store,1,1142,2016
108,Southwestern Illinois Health Facilities Inc. ,St. Louis MSA,6800 State Route 162,Maryville,IL,62062,Madison County,(618) 288-5711,www.andersonhospital.org,622110,Health Care & Social Assistance,Hospitals - General,2,1124,2016
109,Olin Brass ,"Louisville, KY",427 North Shamrock St.,East Alton,IL,62024,Madison County,(618) 258-2000,www.olinbrass.com,331491,Manufacturing,Manufactures copper forms,9,1118,2016
110,Bethesda Health Group Inc,St. Louis MSA,1630 Des Peres Rd.,St. Louis,MO,63131,St. Louis County,(314) 800-1908,www.bethesdahealth.com,623110,Health Care & Social Assistance,Nursing/Personal Care Skilled Nursing Care Facility,6,1100,2016
111,bioMérieux Inc.,"Durham, NC",595 Anglum Dr.,Hazelwood,MO,63042,St. Louis County,(800) 638-4835,www.biomerieux-usa.com,3254,Manufacturing,Biotech - Lab kits/Biotech,7,1100,2016
112,Stifel Financial Corp. ,St. Louis MSA,501 N. Broadway,St. Louis,MO,63102,City of St. Louis,(800) 488-0970,www.stifel.com,523110,Finance & Insurance,Investment Brokerage,6,1100,2016
113,St. Charles County ,St. Louis MSA,100 North Third Street,St. Charles,MO,63301,St. Charles County,(636) 949-7520,www.saintcharlescounty.org,922120,Public Administration,County Governments,6,1033,2016
114,American Water Co.,"Voorhees, NJ",727 Craig Road,St. Louis,MO,63141,St. Louis County,(314) 991-3404,www.mawc.com,221310,Utilities,Basic Services - Water,6,1010,2016
115,ABM Industries Inc. ,"New York, NY",3130 Gravois,St. Louis,MO,63118,City of St. Louis,(314) 241-1975,www.abm.com,561720,"Administrative & Support, Waste Management & Remediation Services",Office Cleaning,8,1000,2016
116,Ascension Health,St. Louis MSA,4600 Edmundson Rd.,St. Louis,MO,63134,St. Louis County,(314) 733-8000,www.ascensionhealth.org,622110,Health Care & Social Assistance,Health system,9,1000,2016
117,Caleras,St. Louis MSA,8300 Maryland Ave.,Clayton,MO,63166,St. Louis County,(314) 854-4000,http://caleres.com,31621,Retail Trade,Shoe Manufacturer and Retailer,5,1000,2016
118,Centaur Building Services ,St. Louis MSA,4401 Ridgewood Ave.,St. Louis,MO,63116,City of St. Louis,(314) 752-7770,www.centaurservices.com,561720,"Administrative & Support, Waste Management & Remediation Services",Office Cleaning,6,1000,2016
119,Federal Reserve Bank of St. Louis ,St. Louis MSA,One Federal Reserve Bank Plaza,St. Louis,MO,63102,City of St. Louis,(314) 444-8444,www.stlouisfed.org,521110,Public Administration,Federal Reserve Bank,5,1000,2016
120,Lumiere Place Casino & Hotels,,999 North 2nd. Street,St. Louis,MO,63102,City of St. Louis,(314) 881-7777,lumiereplace.com,722110,Accommodation & Food Services,Hotel & Casino,3,1000,2016
121,SportService Corporation,,350 Stadium Plaza,St. Louis,MO,63102,City of St. Louis,(314) 345-9100,www.delawarenorth.com,722310,Accommodation & Food Services,Stadium Concessions,5,1000,2016
122,St. Clair County ,St. Louis MSA,10 Public Square,Belleville,IL,62220,St. Clair County,(618) 277-6600,www.co.st-clair.il.us/,922120,Public Administration,County Governments,5,1000,2016
123,United HealthCare of the Midwest Inc. ,,13655 Riverport Dr.,Maryland Heights,MO,63043,St. Louis County,(314) 592-7000,www.uhc.com,621491,Finance & Insurance,Managed Care Organizations,6,1000,2016
124,Salvation Army (The),,1130 Hampton Ave.,St. Louis,MO,63139,City of St. Louis,(314) 646-3000,www.stl-salvationarmy.org,813319,Other Services,Social Services,6,998,2016
125,Zoltek Companies Inc. ,St. Louis MSA,3101 McKelvey Rd.,Bridgeton,MO,63044,St. Louis County,(314) 291-5110,www.zoltek.com,325222,Manufacturing,Industrial Machinery & Components,3,990,2016
126,Madison County,St. Louis MSA,"157 N. Main, Suite 165",Edwardsville,IL,62025,Madison County,(618) 692-6200,www.co.madison.il.us,92110,Public Administration,County Governments,2,984,2016
127,Clayco Construction Company Inc. ,,2199 Innerbelt Business Center Dr.,St. Louis,MO,63114,St. Louis County,(314) 429-5100,www.claycorp.com,236210,Construction,Design/Build General Contractor,6,975,2016
128,Unity Medical Group ,St. Louis MSA,12409 Powers Court Dr.,St. Louis,MO,63131,St. Louis County,(314) 364-3353,,622110,Health Care & Social Assistance,Medical Practices,3,963,2016
129,Centric Group ,St. Louis MSA,1260 Andes Blvd.,St. Louis,MO,63132,St. Louis County,(314) 214-2700,www.centricgroup.com,424480,Wholesale Trade,Wholesale supplies,6,957,2016
130,Pattonville R-III School District ,St. Louis MSA,11097 St. Charles Rock Rd.,St. Ann,MO,63074,St. Louis County,(314) 213-8000,www.psdr3.org,611110,Educational Services,Public School Districts,3,936,2016
131,Gateway Regional Medical Center,St. Louis MSA,2100 Madison Ave.,Granite City,IL,62040,Madison County,(618) 798-3000,www.gatewayregional.net,,Health Care & Social Assistance,General hospital,6,935,2016
132,Subway,,2100 Collier Corporate Pkwy,St. Charles,MO,63303,St. Charles County,(636) 940-9449,www.subway.com,722211,Accommodation & Food Services,Fast Food Chain,3,928,2016
133,Metropolitan St. Louis Sewer District ,St. Louis MSA,2350 Market St.,St. Louis,MO,63103,City of St. Louis,(314) 768-6200,www.msd.st-louis.mo.us,221320,Utilities,Sewerage Systems,5,915,2016
134,Graybar Electric Company Inc. ,  ,34 N. Meramec Ave.,Clayton,MO,63105,St. Louis County,(314) 573-9200,www.graybar.com,423610,Manufacturing,Electrical Engineering,6,909,2016
135,Windstream,,"16090 Swingley Ridge Rd., Suite 450",Chesterfield,MO,63017,St. Louis County,(636) 537-5700,www.windstream.com,517911,Information,Local Telephone Service,3,909,2016
