Symbol,ISIN,Name,Company Description
GEBC.BE,BE0004609500,General Elec.Cert. (Bru),
JNJ,US4781601046,Johnson & Johnson,"DEVELOPS HEALTH CARE PRODUCTS AND PROVIDES RELATED SERVICES TO THE CONSUMER, PHARMACEUTICAL AND MEDICAL MARKETS THROUGH 146 FACILITIES WORLDWIDE. CONSUMER BRANDS INCLUDE TYLENOL, A VEENO, BAND-AID, SPLENDA, NEUTROGENA AND JOHNSON'S. 2012 REVENUES BY SEGMENT IN %: MEDICAL DEVICES AND DIAGNOSTICS 41; PHARMACEUTICAL 38; AND CONSUMER 21. REVENUES BY AREA IN %: U .S. 44; EUROPE 25; ASIA-PACIFIC, AFRICA 20; AND WESTERN HEMI SPHERE EXCLUDING U.S. 11."
CVX.BE,BE0004589306,Chevron Cert. (Bru),
WMT,US9311421039,Wal-Mart Stores,"OPERATES 10,096 WAL-MART/SAM'S CLUB STORES WORLDWIDE UNDER D ISCOUNT, SUPERCENTER AND NEIGHBORHOOD MARKET FORMATS. OPERAT ES IN 26 COUNTRIES AND PUERTO RICO. ALSO OFFERS PRODUCTS VIA WALMART.COM. 2012-13 REVENUES BY SEGMENT IN %: WAL-MART U.- S. 59; WAL-MART INTL 29; AND SAM'S CLUB 12. WAL-MART U.S. RE VENUES BY PRODUCT IN %: GROCERY 55; ENTERTAINMENT 11; HEALTH AND WELLNESS 11; HARDLINES 9; APPAREL 7; AND HOME 7."
WFC,US9497461015,Wells Fargo & Company,"DIVERSIFIED FINANCIAL SERVICES HOLDING COMPANY WITH 9,000 OF FICES THROUGHOUT THE U.S. AND WORLDWIDE. PROVIDES BANKING, I NSURANCE, INVESTMENTS, MORTGAGE AND CONSUMER FINANCE. 2012 L OAN PORTFOLIO IN %: 1-TO-4 FAMILY MORTGAGES 41; COMMERCIAL - 24; CREDIT CARD/INSTALLMENT 14; COMMERCIAL REAL ESTATE MORTG AGE 12; FOREIGN 5; CONSTRUCTION 3; AND LEASE FINANCING 1. AS OF 12/12, TOTAL ASSETS STOOD AT $1.42 TRIL, UP 8% FROM 12/1 1."
RDSB,US7802591070,Royal Dutch Shell B Ads,"ENGAGED IN EXPLORATION, PRODUCTION AND REFINING OF CRUDE OIL AND NATURAL GAS WORLDWIDE. ALSO PRODUCES PETROCHEMICAL PROD UCTS. AT 12/12, PROVED RESERVES WERE 4.38 BIL BBLS OF OIL AN D NGL, 47.79 TRIL CU FT OF NATURAL GAS AND 1.76 BIL BBLS OF SYNTHETIC CRUDE OIL. 2012 REVENUES BY SEGMENT IN %: DOWNSTRE AM 91; AND UPSTREAM 9. REVENUES BY AREA IN %: EUROPE 39; ASI A/OCEANIA/AFRICA 34; U.S. 20; AND OTHER AMERICAS 7."
NESN.CH,CH0038863350,Nestle 'R',"NESTLE SA IS A SWITZERLAND-BASED HOLDING COMPANY OF THE NESTLE GROUP (THE GROUP) AND IS PRINCIPALLY ENGAGED IN THE DEVELOPMENT AND PRODUCTION OF FOOD AND BEVERAGE. THE GROUP MANAGES ITS FOOD AND BEVERAGES BUSINESS THROUGH THREE GEOGRAPHIC ZONES (ZONE EUROPE, ZONE AMERICAS AND ZONE ASIA, OCEANIA AND AFRICA) AND GLOBALLY FOR NESTLE WATERS, NESTLE NUTRITION AND OTHER FOOD AND BEVERAGES (OTHERS). THE OTHERS SEGMENT INCLUDES ACTIVITIES OF NESTLE PROFESSIONAL, NESPRESSO, NESTLE HEALTH SCIENCE AND THE JOINT VENTURES IN BOTH FOOD AND BEVERAGES AND PHARMACEUTICAL ACTIVITIES. THE GROUP'S PRODUCTS ARE DIVERSIFIED INTO SEVEN PRODUCT GROUPS: POWDERED AND LIQUID BEVERAGES; WATER; MILK PRODUCTS AND ICE CREAM; NUTRITION AND HEALTHCARE; PREPARED DISHES AND COOKING AIDS; CONFECTIONERY AND PETCARE. IN ADDITION, THE GROUP MANAGES A NUMBER OF BRANDS DIVERSIFIED INTO SPECIFIC PRODUCT GROUPS LIKE BABY FOODS, BOTTLED WAT"
RHHBY,US7711951043,Roche Holding Ltd Adr,"DEVELOPS THERAPEUTIC, PREVENTATIVE AND DIAGNOSTIC AGENTS FOR THE TREATMENT OF VARIOUS DISEASES. 2012 REVENUES BY SEGMENT IN %: PHARMACEUTICALS 77; AND DIAGNOSTICS 23. PHARMACEUTICA LS SEGMENT REVENUES IN %: ONCOLOGY 61; INFLAMMATION/TRANSPLANTATION/AUTOIMMUNE 9; AND OTHER 30. DIAGNOSTICS SEGMENT REV ENUES IN %: PROFESSIONAL DIAGNOSTICS 50; DIABETES 25; AND OT HER 25. REVENUES BY AREA IN %: AMERICAS 45; EUROPE 32; ASIA 20; AND OTHER 3."
RDSA,US7802592060,Royal Dutch Shell A Ads,"ENGAGED IN EXPLORATION, PRODUCTION AND REFINING OF CRUDE OIL AND NATURAL GAS WORLDWIDE. ALSO PRODUCES PETROCHEMICAL PROD UCTS. AT 12/12, PROVED RESERVES WERE 4.38 BIL BBLS OF OIL AN D NGL, 47.79 TRIL CU FT OF NATURAL GAS AND 1.76 BIL BBLS OF SYNTHETIC CRUDE OIL. 2012 REVENUES BY SEGMENT IN %: DOWNSTRE AM 91; AND UPSTREAM 9. REVENUES BY AREA IN %: EUROPE 39; ASI A/OCEANIA/AFRICA 34; U.S. 20; AND OTHER AMERICAS 7."
CVX,US1667641005,Chevron Corp,"ENGAGED IN EXPLORATION, PRODUCTION, REFINING AND MARKETING O F OIL AND GAS IN THE U.S. AND WORLDWIDE. AS OF 12/12, PROVED RESERVES STOOD AT 6.48 BIL BBLS OF OIL AND NATURAL GAS LIQU IDS AND 29.1 TRIL CU FT OF GAS. HOLDS 15.7 MIL GROSS (8.07 - MIL NET) DEVELOPED ACRES AND 90.8 MIL GROSS (49.3 MIL NET) U NDEVELOPED ACRES. 2012 OPERATING REVENUES BY SEGMENT IN %: D OWNSTREAM 72; UPSTREAM 27; AND OTHER 1. INTERNATIONAL REVENU ES: 60% OF REVENUES."
JPM,US46625H1005,J P Morgan Chase & Co,"GLOBAL FINANCIAL CO PROVIDING PRIVATE, COMMERCIAL AND INVEST MENT BANKING AND TREASURY SERVICES IN OVER 60 COUNTRIES. 201 2 REVENUES BY SEGMENT IN %: CONSUMER AND COMMUNITY BANKING 5 0; CORPORATE AND INVESTMENT BANK 34; ASSET MANAGEMENT 10; COMMERCIAL BANKING 7; AND CORPORATE/PRIVATE EQUITY -1. AS OF 12/12, TOTAL ASSETS STOOD AT $2.35 TRIL, UP 4% FROM 12/11. T OTAL ASSETS UNDER MANAGEMENT STOOD AT $1.4 TRIL, UP 7% FROM 12/11."
NOVN.CH,CH0012005267,Novartis 'R',"NOVARTIS AG PROVIDES HEALTHCARE SOLUTIONS. THE COMPANY IS A MULTINATIONAL GROUP OF COMPANIES SPECIALIZING IN THE RESEARCH, DEVELOPMENT, MANUFACTURING AND MARKETING OF A RANGE OF HEALTHCARE PRODUCTS LED BY PHARMACEUTICALS. ITS PORTFOLIO INCLUDES MEDICINES, EYE CARE, COST-SAVING GENERIC PHARMACEUTICALS, PREVENTIVE VACCINES AND DIAGNOSTIC TOOLS, OVER-THE-COUNTER AND ANIMAL HEALTH PRODUCTS. IT HAS FIVE SEGMENTS: PHARMACEUTICALS, WHICH INCLUDE PATENT-PROTECTED PRESCRIPTION MEDICINES; ALCON, WHICH INCLUDE SURGICAL, OPHTHALMIC PHARMACEUTICAL AND VISION CARE PRODUCTS; SANDOZ, WHICH INCLUDE GENERIC PHARMACEUTICALS; VACCINES AND DIAGNOSTICS, WHICH INCLUDE HUMAN VACCINES AND BLOOD-TESTING DIAGNOSTICS, AND CONSUMER HEALTH, WHICH INCLUDE OVER-THE-COUNTER MEDICINES (OTC) AND ANIMAL HEALTH. IN DECEMBER 2013, ALLIANCE PHARMA PLC ANNOUNCED THAT ITS WHOLLY OWNED SUBSIDIARY, ALLIANCE PHARMACEUTICALS LIMITED, ACQUIRE"
PG,US7427181091,Procter & Gamble,"MANUFACTURES BEAUTY CARE PRODUCTS, CLEANING PRODUCT, DIAPERS , TISSUES, HEALTH CARE AND TOOTHPASTE. 2012-13 REVENUES BY S EGMENT IN %: FABRIC AND HOME CARE 32; BEAUTY 24; BABY AND FA MILY CARE 20; HEALTH CARE 15; AND GROOMING 9. REVENUES BY AREA IN %: NORTH AMERICA 39; WESTERN EUROPE 18; ASIA 18; CENT RAL AND EASTERN EUROPE, MIDDLE EAST AND AFRICA 15; AND LATIN AMERICA 10. WAL-MART ACCOUNTED FOR 14% OF REVENUES."
PFEB.BE,BE0004611522,Pfizer Idr (Bru),
HSBA.GB,GB0005405286,Hsbc Hdg. (Ord $0.50),"HSBC HOLDINGS PLC (HSBC) IS A GLOBAL BANKING AND FINANCIAL SERVICES ORGANIZATIONS. AS OF DECEMBER 31, 2012, IT PROVIDED A RANGE OF FINANCIAL SERVICES TO AROUND 58 MILLION CUSTOMERS THROUGH FOUR GLOBAL BUSINESSES: RETAIL BANKING AND WEALTH MANAGEMENT, COMMERCIAL BANKING, GLOBAL BANKING AND MARKETS, AND GLOBAL PRIVATE BANKING. IN JUNE 2012, THE COMPANY'S INDIRECT WHOLLY OWNED SUBSIDIARY, HSBC IRIS INVESTMENTS (MAURITIUS) LTD, SOLD ITS 4.73% INTEREST IN AXIS BANK LIMITED AND 4.74% INTEREST IN YES BANK LIMITED. IN JULY 2012, ITS SUBSIDIARY, HSBC EUROPE (NETHERLANDS B.V.), SOLD ITS 100% INTEREST IN HSBC CREDIT ZRT, TO CENTRALFUND KOCKAZATI TOKEALAP. ON MARCH 31, 2013, ENSTAR GROUP LTD'S SUBSIDIARY COMPLETED THE ACQUISITION FROM HOUSEHOLD INSURANCE GROUP HOLDING COMPANY OF HSBC INSURANCE COMPANY OF DELAWARE AND HOUSEHOLD LIFE INSURANCE COMPANY OF DELAWARE, AS WELL AS ITS THREE SUBSIDIARY INSURERS."
TYMO.JP,JP3633400001,Toyota Motor,"TOYOTA MOTOR CORPORATION IS A JAPAN-BASED COMPANY MAINLY ENGAGED IN THE AUTOMOBILE BUSINESS AND FINANCIAL BUSINESS. THE COMPANY OPERATES THROUGH THREE BUSINESS SEGMENTS. THE AUTOMOBILE SEGMENT IS ENGAGED IN THE DESIGN, MANUFACTURE AND SALE OF CAR PRODUCTS, INCLUDING SEDANS, MINIVANS, 2BOX CARS, SPORT-UTILITY VEHICLES AND TRUCKS, AS WELL AS THE RELATED PARTS AND ACCESSORIES. THE FINANCE SEGMENT IS INVOLVED IN THE PROVISION OF FINANCIAL SERVICES RELATED TO THE SALE OF THE COMPANY'S PRODUCTS, AS WELL AS THE LEASING OF VEHICLES AND EQUIPMENT. THE OTHERS SEGMENT IS INVOLVED IN THE DESIGN, MANUFACTURE AND SALE OF HOUSINGS, AS WELL AS THE INFORMATION AND COMMUNICATION BUSINESS."
IBM,US4592001014,Intl Business Machines,"PROVIDES IT CONSULTING SERVICES AND COMPUTER HARDWARE AND SO FTWARE FOR INSTITUTIONS WORLDWIDE. OFFERS GLOBAL BUSINESS CO NSULTING AND OUTSOURCING, SERVERS, PRINTING SYSTEMS, MANAGEM ENT AND COMMUNICATIONS SOFTWARE AND FINANCING SERVICES. 2012 REVENUES BY SEGMENT IN %: GLOBAL TECHNOLOGY SERVICES 39; SOF TWARE 24; GLOBAL BUSINESS SERVICE 18; SYSTEMS AND TECHNOLOGY 17; AND OTHER 2. REVENUES BY AREA IN %: AMERICAS 44; EMEA 3 1; AND ASIA PACIFIC 25."
PFE,US7170811035,Pfizer Inc,"DEVELOPS BRANDED PRESCRIPTION DRUGS FOR CARDIOVASCULAR AND M ETABOLIC DISEASES AND OTHER CONDITIONS. LEAD PRODUCTS TREAT EPILEPSY, NEURALGIA, CHOLESTEROL, RHEUMATOID ARTHRITIS, PNEU MOCOCCAL DISEASE, ERECTILE DYSFUNCTION AND OTHERS. 2012 REVENUES BY SEGMENT IN %: PRIMARY 26; SPECIALTY 24; ESTABLISHED 17; EMERGING 17; ANIMAL HEALTH 7; CONSUMER HEALTHCARE 5; ON COLOGY AND OTHER 4. INTERNATIONAL REVENUES ACCOUNTED FOR 61% OF REVENUES."
PCL.CN,CNE1000007Q1,Petrochina 'A',"PETROCHINA CO LTD. PETROCHINA COMPANY LIMITED IS MAINLY ENGAGED IN THE PRODUCTION AND SALE OF OIL AND GAS RELATED PRODUCTS. THE COMPANY'S MAIN BUSINESSES INCLUDE THE EXPLORATION, DEVELOPMENT, PRODUCTION AND SALE OF CRUDE OIL AND NATURAL GAS; REFINING OF CRUDE OIL AND PETROLEUM PRODUCTS, PRODUCTION AND SALE OF BASIC AND DERIVATIVE PETROCHEMICAL PRODUCTS AND OTHER CHEMICAL PRODUCTS; SALE OF REFINED OIL PRODUCTS AND TRADING BUSINESS; THE TRANSPORTATION OF NATURAL GAS, CRUDE OIL AND REFINED OIL, AS WELL AS THE SALE OF NATURAL GAS. THE COMPANY'S MAJOR PRODUCTS INCLUDE GASOLINE, DIESEL, KEROSENE, SYNTHETIC RESIN, SYNTHETIC FIBER RAW MATERIALS AND POLYMERS, SYNTHETIC RUBBER AND UREA. THE COMPANY IS INVOLVED IN THE RETAIL OF REFINED OIL AND THE INTERNATIONAL TRADING OF PETROLEUM AND NATURAL GAS, AND THE CONSTRUCTION AND OPERATION OF OIL AND GAS PIPELINES."
CHL,US16941M1099,China Mobile Ltd Adr,"HONG KONG-BASED PROVIDER OF DIGITAL WIRELESS VOICE AND DATA SERVICES TO 710 MIL CUSTOMERS IN CHINA AND HONG KONG USING G SM, WLAN, TD-LTE AND TD-SCDMA STANDARDS. SERVICES COVER VIRT UALLY ALL CITIES AND COUNTIES THROUGHOUT CHINA AND SUBSTANTIAL PARTS OF HONG KONG. SERVICES INCLUDE LOCAL, DOMESTIC/LON G DISTANCE CALLING, MESSAGING, AND INTERNET ACCESS. 2012 REV ENUES BY SEGMENT IN %: VOICE SERVICE 66; DATA SERVICE 30; AN D OTHER 4."
CHT.HK,HK0941009539,China Mobile,"CHINA MOBILE LIMITED IS AN INVESTMENT HOLDING COMPANY. THE COMPANY AND ITS SUBSIDIARIES PROVIDE MOBILE TELECOMMUNICATIONS AND RELATED SERVICES IN 31 PROVINCES, AUTONOMOUS REGIONS AND DIRECTLY-ADMINISTERED MUNICIPALITIES IN MAINLAND CHINA AND HONG KONG. AS OF DECEMBER 31, 2012, ITS TOTAL CUSTOMER REACHED 710 MILLION. THE COMPANY'S PRODUCTS AND SERVICES INCLUDE VOICE SERVICES, WHICH REFERS TO THE BUSINESS WHERE CUSTOMERS MAKE AND RECEIVE CALLS WITH A MOBILE PHONE AT ANY POINT WITHIN THE COVERAGE OF THE COMPANY'S MOBILE TELECOMMUNICATIONS NETWORKS; DATA SERVICES, WHICH COMPRISE SHORT MESSAGE SERVICE AND MULTIMEDIA MESSAGING SERVICE (SMS & MMS), WIRELESS DATA TRAFFIC, AND APPLICATIONS AND INFORMATION SERVICES. AS OF DECEMBER 31, 2012, THE COMPANY'S ULTIMATE HOLDING ENTITY WAS CHINA MOBILE COMMUNICATIONS CORPORATION (CMCC). AS OF THE SAME DATE, ITS SUBSIDIARIES INCLUDED CHINA MOBILE COMMUNICATION (BVI)"
HSBC,US4042804066,H S B C Holdings Plc Adr,"GLOBAL PROVIDER OF COMMERCIAL AND INVESTMENT BANKING AND OTH ER SERVICES VIA 6,600 OFFICES IN 81 COUNTRIES IN EUROPE, MID DLE EAST, AFRICA, NORTH/LATIN AMERICA AND REST OF ASIA PACIF IC. BANK UNITS INCLUDE HONGKONG AND SHANGHAI BANKING CORP, - HSBC BANK PLC AND HSBC BANK USA. 2012 PROFIT BY SEGMENT IN % : RETAIL 49; COMMERCIAL BANKING 29; GLOBAL BANKING 20; AND P RIVATE AND OTHER 2. AS OF 12/12, TOTAL ASSETS WERE $2.69 TRI L, UP 5% FROM 12/11."
NVS,US66987V1098,Novartis Ag Adr,"SWISS DEVELOPER OF BRANDED AND GENERIC PHARMACEUTICALS, CONS UMER HEALTH PRODUCTS, VACCINES AND DIAGNOSTICS. MARKETED PRO DUCTS INCLUDE TREATMENTS FOR HYPERTENSION, TYPE 2 DIABETES, CHRONIC MYELOID LEUKEMIA, OTHER CANCERS, PARKINSON'S, ALZHEIMER'S AND ADHD. 2012 REVENUES BY SEGMENT IN %: PHARMACEUTIC ALS 57; ALCON 18; SANDOZ 15; CONSUMER HEALTH 6; VACCINES AND DIAGNOSTICS 4. NET SALES BY AREA IN %: U.S. 33; JAPAN 9; GE RMANY 7; FRANCE 5; OTHER 46."
ROG.CH,CH0012032048,Roche Holding,"ROCHE HOLDING AG IS A SWISS PHARMACEUTICALS AND DIAGNOSTICS HOLDING COMPANY. IT BELONGS TO THE ROCHE GROUP THAT OPERATES THROUGH SUBSIDIARIES AND ASSOCIATED COMPANIES AROUND THE WORLD. IT DISCOVERS, DEVELOPS AND PROVIDES DIAGNOSTIC AND THERAPEUTIC PRODUCTS AND SERVICES FROM EARLY DETECTION AND PREVENTION OF DISEASES TO DIAGNOSIS, TREATMENT AND TREATMENT MONITORING. THE COMPANY HAS TWO DIVISIONS: PHARMACEUTICALS AND DIAGNOSTICS. PHARMACEUTICALS ARE DIVIDED INTO TWO SUB-DIVISIONS: ROCHE PHARMACEUTICALS AND CHUGAI. IT OPERATES IN THE UNITED STATES, WESTERN EUROPE, JAPAN, CEMAI (CENTRAL AND EASTERN EUROPE, MIDDLE EAST, AFRICA, CENTRAL ASIA, INDIAN SUBCONTINENT), LATIN AMERICA, ASIA-PACIFIC AND OTHER REGIONS. DIAGNOSTICS INCLUDE FIVE BUSINESS AREAS: APPLIED SCIENCE, DIABETES CARE, MOLECULAR DIAGNOSTICS, TISSUE DIAGNOSIS AND PROFESSIONAL DIAGNOSTICS. IT OPERATES IN FIVE GEOGRAPHICAL REGIONS: EUROPE, MID"
JPMC.BE,BE0004580214,Jp Morgan Chase Idr Cert (Bru),
VOD,US92857W2098,Vodafone Group Plc Adr,"U.K.-BASED PROVIDER OF DIGITAL WIRELESS VOICE AND DATA SERVI CES TO 404 MIL CUSTOMERS IN 30 COUNTRIES. OPERATES NETWORKS USING GSM, GPRS AND W-CDMA TECHNOLOGIES. ALSO PROVIDES FIXED LINE SERVICES AND HANDSETS. 2012-13 REVENUES BY SEGMENT IN %: SERVICE 91; AND EQUIPMENT AND OTHER 9. REVENUES BY AREA I N %: GERMANY 18; U.K. 12; ITALY 11; INDIA 10; SPAIN 9; AND O THER 40."
TM,US8923313071,Toyota Motor Corp Adr,"JAPANESE MANUFACTURER OF AUTOMOBILES UNDER THE TOYOTA, LEXUS AND DAIHATSU NAMEPLATES. ALSO MANUFACTURES COMMERCIAL VEHIC LES UNDER THE HINO NAME, OFFERS FINANCIAL SERVICES AND DEVEL OPS HOUSING AND TELECOMMUNICATIONS. IN 2012-13 SOLD 8.87 MIL VEHICLES. 2012-13 REVENUES BY SEGMENT IN %: AUTOMOTIVE 92; F INANCIAL SERVICES 5; AND OTHER 3. REVENUES BY AREA IN %: JAP AN 46; NORTH AMERICA 23; ASIA 16; EUROPE 7; AND OTHER 8."
PTR,US71646E1001,Petrochina Co Ltd Adr,"CHINESE CO ENGAGED IN THE EXPLORATION, PRODUCTION, REFINING, STORAGE, TRANSPORTATION AND MARKETING OF OIL AND GAS. AT 12 /12, PROVED RESERVES WERE 11.01 BIL BBLS OF CRUDE OIL AND 67 .5 TRIL CU FT OF NATURAL GAS. OPERATED 66,776 KM OF PIPELINE. 2012 REVENUES BY SEGMENT IN %: MARKETING 76; REFINING/CHE MICALS 8; EXPLORATION/PRODUCTION 8; AND NATURAL GAS AND PIPE LINE 8. REVENUES BY AREA IN %: CHINA 68; AND OTHER 32."
VOD.GB,GB00B16GWD56,Vodafone Group,"VODAFONE GROUP PLC (VODAFONE) IS A MOBILE COMMUNICATIONS COMPANY. THE COMPANY PROVIDES ITS SERVICES TO MOBILE VOICE, MESSAGING, DATA AND FIXED LINE. VODAFONE HAS EQUITY INTERESTS IN TELECOMMUNICATIONS OPERATIONS IN NEARLY 30 COUNTRIES AND AROUND 50 PARTNER NETWORKS WORLDWIDE. VODAFONE RED OFFERS CONSUMERS AND BUSINESSES A PACKAGE WITH MOBILE DATA ALLOWANCES, UNLIMITED CALLS AND TEXTS, PLUS CLOUD AND BACK-UP SERVICES TO SECURE PERSONAL DATA. VODAFONE CLOUD ALLOWS CUSTOMERS TO STORE THEIR PERSONAL DIGITAL CONTENT, SUCH AS CONTACTS, PHOTOS AND VIDEOS IN THE VODAFONE NETWORK AND TO ACCESS IT ON THE MOVE FROM ANY CONNECTED DEVICE. VODAFONE ONENET INTEGRATES LANDLINES AND MOBILES PROVIDING A COMMUNICATION SOLUTION. VODAFONE SECURE DEVICE MANAGER GIVES CUSTOMER A WAY TO MANAGE MANY OF THEIR SMART DEVICES."
BAC,US0605051046,Bank Of America Corp,"GLOBAL HOLDING COMPANY OFFERING BANKING AND NONBANKING FINAN CIAL SERVICES IN THE U.S. AND OVER 46 FOREIGN COUNTRIES. 201 2 REVENUES (ON FTE BASIS) IN %: CONSUMER AND BUSINESS BANKIN G 35; GLOBAL BANKING 20; GLOBAL WEALTH AND INVESTMENT 20; GLOBAL MARKETS 16; AND ALL OTHER 9. REVENUES BY AREA IN %: U. S. 87; EUROPE/MIDDLE EAST/AFRICA 7; ASIA 4; AND LATIN AMERIC A 2. AS OF 12/12, TOTAL ASSETS STOOD AT $2.2 TRIL, UP 4% FRO M 12/11."
BPE.DE,DE0008618737,Bp Plc Zert. (Fra),
