symbol,name,sector,price,price_chg,price__chg,vol_rate,avg_dly__vol_000,mkt_val_mil_usd,pe_ratio,company_description,industry_sector,industry_group,isin,major_industry,headquarters,exchange_primary_listing,exchange,trading_country
GGQ1.DE,Google 'A' (Fra),Technology,845.82,0,0,-100,410,318311,31,"GOOGLE INC. (GOOGLE) IS A GLOBAL TECHNOLOGY COMPANY. THE COMPANY'S BUSINESS IS PRIMARILY FOCUSED AROUND KEY AREAS, SUCH AS SEARCH, ADVERTISING, OPERATING SYSTEMS AND PLATFORMS, ENTERPRISE AND HARDWARE PRODUCTS. THE COMPANY GENERATES REVENUE PRIMARILY BY DELIVERING ONLINE ADVERTISING. THE COMPANY ALSO GENERATES REVENUES FROM MOTOROLA BY SELLING HARDWARE PRODUCTS. THE COMPANY PROVIDES ITS PRODUCTS AND SERVICES IN MORE THAN 100 LANGUAGES AND IN MORE THAN 50 COUNTRIES, REGIONS, AND TERRITORIES. EFFECTIVE SEPTEMBER 16, 2013, GOOGLE INC ACQUIRED BUMP TECHNOLOGIES INC. EFFECTIVE OCTOBER 22, 2013, GOOGLE INC ACQUIRED FLEXYCORE, A DEVELOPER OF SOFTWARE. EFFECTIVE DECEMBER 6, 2013, GOOGLE INC ACQUIRED THE ENTIRE SHARE CAPITAL OF SCHAFT INC. EFFECTIVE DECEMBER 14, 2013, GOOGLE INC ACQUIRED BOSTON DYNAMICS INC.",INTERNET,Internet-Content,US38259P5089,,,"No (NASDAQ, GOOG)",FRANKFURT,GERMANY
MSFT,Microsoft Corp,Technology,36.89,0.13,0.353645,-4.880698215,1468683,307956,13,"DEVELOPS OPERATING SYSTEMS, BUSINESS SOFTWARE, AND OTHER APP LICATIONS FOR SERVERS, PC'S AND INTELLIGENT DEVICES. ALSO DE VELOPS VIDEO GAME CONSOLES, MUSIC DEVICES AND PERIPHERALS. 2 012-13 REVENUES BY SEGMENT IN %: MICROSOFT BUSINESS DIVISION 32; SERVER AND TOOLS 26; WINDOWS DIVISION 24; ENTERTAINMENT AND DEVICES DIVISION 13; ONLINE SERVICES DIVISION 4; AND OTH ER 1. INTERNATIONAL REVENUES ACCOUNTED FOR 47%.",SOFTWARE,Computer Sftwr-Desktop,US5949181045,Computer-Software,"Redmond, WA",Yes,NASDAQ,UNITED STATES
MSF.DE,Microsoft (Fra),Technology,26.99,0,0,-100,508,306463,14,"MICROSOFT CORPORATION IS ENGAGED IN DEVELOPING, LICENSING AND SUPPORTING A RANGE OF SOFTWARE PRODUCTS AND SERVICES. THE COMPANY OPERATES IN FIVE SEGMENTS: WINDOWS & WINDOWS LIVE DIVISION (WINDOWS DIVISION), SERVER AND TOOLS, ONLINE SERVICES DIVISION (OSD), MICROSOFT BUSINESS DIVISION (MBD), AND ENTERTAINMENT AND DEVICES DIVISION (EDD). THE COMPANY'S PRODUCTS INCLUDE OPERATING SYSTEMS FOR PERSONAL COMPUTERS (PCS), SERVERS, PHONES, AND OTHER INTELLIGENT DEVICES; SERVER APPLICATIONS FOR DISTRIBUTED COMPUTING ENVIRONMENTS; PRODUCTIVITY APPLICATIONS; BUSINESS SOLUTION APPLICATIONS; DESKTOP AND SERVER MANAGEMENT TOOLS; SOFTWARE DEVELOPMENT TOOLS; VIDEO GAMES, AND ONLINE ADVERTISING. IT ALSO DESIGNS AND SELLS HARDWARE, INCLUDING THE XBOX 360 GAMING AND ENTERTAINMENT CONSOLE. IN SEPTEMBER 2013, ERICSSON COMPLETED THE ACQUISITION OF MICROSOFT'S MEDIAROOM BUSINESS AND TV SOLUTION. EFFECTIVE OCTOBER 23, 2013",SOFTWARE,Computer Sftwr-Desktop,US5949181045,Computer-Software,,"No (NASDAQ, MSFT)",FRANKFURT,GERMANY
MSFX.DE,Microsoft (Xet),Technology,26.79,-0.19,-0.704225352,-5.157606644,568,304192,14,"MICROSOFT CORPORATION IS ENGAGED IN DEVELOPING, LICENSING AND SUPPORTING A RANGE OF SOFTWARE PRODUCTS AND SERVICES. THE COMPANY OPERATES IN FIVE SEGMENTS: WINDOWS & WINDOWS LIVE DIVISION (WINDOWS DIVISION), SERVER AND TOOLS, ONLINE SERVICES DIVISION (OSD), MICROSOFT BUSINESS DIVISION (MBD), AND ENTERTAINMENT AND DEVICES DIVISION (EDD). THE COMPANY'S PRODUCTS INCLUDE OPERATING SYSTEMS FOR PERSONAL COMPUTERS (PCS), SERVERS, PHONES, AND OTHER INTELLIGENT DEVICES; SERVER APPLICATIONS FOR DISTRIBUTED COMPUTING ENVIRONMENTS; PRODUCTIVITY APPLICATIONS; BUSINESS SOLUTION APPLICATIONS; DESKTOP AND SERVER MANAGEMENT TOOLS; SOFTWARE DEVELOPMENT TOOLS; VIDEO GAMES, AND ONLINE ADVERTISING. IT ALSO DESIGNS AND SELLS HARDWARE, INCLUDING THE XBOX 360 GAMING AND ENTERTAINMENT CONSOLE. IN SEPTEMBER 2013, ERICSSON COMPLETED THE ACQUISITION OF MICROSOFT'S MEDIAROOM BUSINESS AND TV SOLUTION. EFFECTIVE OCTOBER 23, 2013",SOFTWARE,Computer Sftwr-Desktop,US5949181045,Computer-Software,,"No (NASDAQ, MSFT)",XETRA,GERMANY
BRKB,Berkshire Hathaway Cl B,Capital Equipment,115.24,-0.61,-0.526542,-20.10586705,391758,284141,20,"ENGAGES IN INSURANCE, FOODSERVICE OPERATIONS, ENERGY DISTRIB UTION, MANUFACTURED FLOORING, FINANCE AND APPAREL AS WELL AS BUILDING PRODUCTS, PAINTS, FLIGHT TRAINING, HOME RETAIL PROD UCTS, TRANSPORTATION EQUIPMENT LEASING, AND OTHER MARKET SEGMENTS. 2012 REVENUES BY SEGMENT IN %: INSURANCE GROUP 25; M CLANE COMPANY 23; BURLINGTON NORTHERN SANTA FE 13; MIDAMERIC AN 7; MARMON 5; FINANCE AND FINANCIAL PRODUCTS 3; AND OTHER BUSINESSES 24.",MISC,Diversified Operations,US0846707026,Diversified Operation,"Omaha, NE",Yes,NYSE,UNITED STATES
BRKA,Berkshire Hathaway Cl A,Capital Equipment,172773,-892,-0.513632,-25,69466,283866,20,"ENGAGES IN INSURANCE, FOODSERVICE OPERATIONS, ENERGY DISTRIB UTION, MANUFACTURED FLOORING, FINANCE AND APPAREL AS WELL AS BUILDING PRODUCTS, PAINTS, FLIGHT TRAINING, HOME RETAIL PROD UCTS, TRANSPORTATION EQUIPMENT LEASING, AND OTHER MARKET SEGMENTS. 2012 REVENUES BY SEGMENT IN %: INSURANCE GROUP 25; M CLANE COMPANY 23; BURLINGTON NORTHERN SANTA FE 13; MIDAMERIC AN 7; MARMON 5; FINANCE AND FINANCIAL PRODUCTS 3; AND OTHER BUSINESSES 24.",MISC,Diversified Operations,US0846701086,Diversified Operation,"Omaha, NE",Yes,NYSE,UNITED STATES
NESN.BE,Nestle (Bru),Consumer Staple,54.4,1.2,2.255639098,-4.07275603,138,283394,,,FOOD/BEV,Food-Packaged,BE0004605466,,,Yes,BRUSSELS,BELGIUM
GEC.DE,General Electric (Fra),Capital Equipment,20.1,0,0,-100,915,276548,20,"GENERAL ELECTRIC COMPANY (GE) IS A DIVERSIFIED TECHNOLOGY AND FINANCIAL SERVICES COMPANY. THE PRODUCTS AND SERVICES OF THE COMPANY RANGE FROM AIRCRAFT ENGINES, POWER GENERATION, WATER PROCESSING, AND HOUSEHOLD APPLIANCES TO MEDICAL IMAGING, BUSINESS AND CONSUMER FINANCING AND INDUSTRIAL PRODUCTS. IT SERVES CUSTOMERS IN MORE THAN 100 COUNTRIES. IN JUNE 2013, AMERICAN REALTY CAPITAL TRUST IV INC ANNOUNCED THAT IT HAS CLOSED ON THE ACQUISITION OF 377 PRIMARILY NET LEASE RETAIL PROPERTIES AS PART OF ITS PREVIOUSLY ANNOUNCED PORTFOLIO ACQUISITION FROM CERTAIN AFFILIATES OF GENERAL ELECTRIC CO'S GE CAPITAL. IN AUGUST 2013, GENERAL ELECTRIC COMPANY COMPLETED THE ACQUISITION OF THE AVIATION BUSINESS OF ARIO S.P.A. IN DECEMBER 2013, CLARCOR INC. COMPLETED THE ACQUISITION OF AIR FILTRATION BUSINESS OF GENERAL ELECTRIC COMPANY'S POWER & WATER DIVISION. EFFECTIVE DECEMBER 31, 2013, CAREFUSION CORP ACQUIRED VI",MISC,Diversified Operations,US3696041033,Diversified Operation,,"No (NYSE, GE)",FRANKFURT,GERMANY
GE,General Electric Co,Capital Equipment,27.2,-0.14,-0.51207,-4.801067358,936472,275192,19,"MANUFACTURES TRANSPORTATION, ENERGY GENERATION, CONSUMER APP LIANCES, INDUSTRIAL AND MEDICAL EQUIPMENT AS WELL AS AVIATIO N, ENERGY AND OIL/GAS EQUIPMENT. ALSO PROVIDES FINANCIAL SER VICES. 2012 REVENUES BY SEGMENT IN %: CAPITAL 31; POWER & WATER 19; AVIATION 13; HEALTHCARE 12; OIL & GAS 10; HOME & BU SINESS SOLUTIONS 5; AND OTHER 10. REVENUES BY AREA IN %: U.S .48; EUROPE 19; PACIFIC BASIN 16; AMERICAS 9; AND MIDDLE EAS TAND AFRICA 8.",MISC,Diversified Operations,US3696041033,Diversified Operation,"Fairfield, CT",Yes,NYSE,UNITED STATES
GE.CH,General Electric (Swx),Capital Equipment,24.65,-0.15,-0.60483871,-18.42610365,103,275146,20,"GENERAL ELECTRIC COMPANY (GE) IS A DIVERSIFIED TECHNOLOGY AND FINANCIAL SERVICES COMPANY. THE PRODUCTS AND SERVICES OF THE COMPANY RANGE FROM AIRCRAFT ENGINES, POWER GENERATION, WATER PROCESSING, AND HOUSEHOLD APPLIANCES TO MEDICAL IMAGING, BUSINESS AND CONSUMER FINANCING AND INDUSTRIAL PRODUCTS. IT SERVES CUSTOMERS IN MORE THAN 100 COUNTRIES. IN JUNE 2013, AMERICAN REALTY CAPITAL TRUST IV INC ANNOUNCED THAT IT HAS CLOSED ON THE ACQUISITION OF 377 PRIMARILY NET LEASE RETAIL PROPERTIES AS PART OF ITS PREVIOUSLY ANNOUNCED PORTFOLIO ACQUISITION FROM CERTAIN AFFILIATES OF GENERAL ELECTRIC CO'S GE CAPITAL. IN AUGUST 2013, GENERAL ELECTRIC COMPANY COMPLETED THE ACQUISITION OF THE AVIATION BUSINESS OF ARIO S.P.A. IN DECEMBER 2013, CLARCOR INC. COMPLETED THE ACQUISITION OF AIR FILTRATION BUSINESS OF GENERAL ELECTRIC COMPANY'S POWER & WATER DIVISION. EFFECTIVE DECEMBER 31, 2013, CAREFUSION CORP ACQUIRED VI",MISC,Diversified Operations,US3696041033,Diversified Operation,,"No (NYSE, GE)",SWISS SE,SWITZERLAND
GEA.FR,General Electric (Par),Capital Equipment,19.95,-0.2,-0.992555831,-40.1368301,157,274539,20,"GENERAL ELECTRIC COMPANY (GE) IS A DIVERSIFIED TECHNOLOGY AND FINANCIAL SERVICES COMPANY. THE PRODUCTS AND SERVICES OF THE COMPANY RANGE FROM AIRCRAFT ENGINES, POWER GENERATION, WATER PROCESSING, AND HOUSEHOLD APPLIANCES TO MEDICAL IMAGING, BUSINESS AND CONSUMER FINANCING AND INDUSTRIAL PRODUCTS. IT SERVES CUSTOMERS IN MORE THAN 100 COUNTRIES. IN JUNE 2013, AMERICAN REALTY CAPITAL TRUST IV INC ANNOUNCED THAT IT HAS CLOSED ON THE ACQUISITION OF 377 PRIMARILY NET LEASE RETAIL PROPERTIES AS PART OF ITS PREVIOUSLY ANNOUNCED PORTFOLIO ACQUISITION FROM CERTAIN AFFILIATES OF GENERAL ELECTRIC CO'S GE CAPITAL. IN AUGUST 2013, GENERAL ELECTRIC COMPANY COMPLETED THE ACQUISITION OF THE AVIATION BUSINESS OF ARIO S.P.A. IN DECEMBER 2013, CLARCOR INC. COMPLETED THE ACQUISITION OF AIR FILTRATION BUSINESS OF GENERAL ELECTRIC COMPANY'S POWER & WATER DIVISION. EFFECTIVE DECEMBER 31, 2013, CAREFUSION CORP ACQUIRED VI",MISC,Diversified Operations,US3696041033,Diversified Operation,,"No (NYSE, GE)",PARIS-SBF,FRANCE
GECX.DE,General Electric (Xet),Capital Equipment,19.93,-0.165,-0.821099776,27.00116009,550,274264,20,"GENERAL ELECTRIC COMPANY (GE) IS A DIVERSIFIED TECHNOLOGY AND FINANCIAL SERVICES COMPANY. THE PRODUCTS AND SERVICES OF THE COMPANY RANGE FROM AIRCRAFT ENGINES, POWER GENERATION, WATER PROCESSING, AND HOUSEHOLD APPLIANCES TO MEDICAL IMAGING, BUSINESS AND CONSUMER FINANCING AND INDUSTRIAL PRODUCTS. IT SERVES CUSTOMERS IN MORE THAN 100 COUNTRIES. IN JUNE 2013, AMERICAN REALTY CAPITAL TRUST IV INC ANNOUNCED THAT IT HAS CLOSED ON THE ACQUISITION OF 377 PRIMARILY NET LEASE RETAIL PROPERTIES AS PART OF ITS PREVIOUSLY ANNOUNCED PORTFOLIO ACQUISITION FROM CERTAIN AFFILIATES OF GENERAL ELECTRIC CO'S GE CAPITAL. IN AUGUST 2013, GENERAL ELECTRIC COMPANY COMPLETED THE ACQUISITION OF THE AVIATION BUSINESS OF ARIO S.P.A. IN DECEMBER 2013, CLARCOR INC. COMPLETED THE ACQUISITION OF AIR FILTRATION BUSINESS OF GENERAL ELECTRIC COMPANY'S POWER & WATER DIVISION. EFFECTIVE DECEMBER 31, 2013, CAREFUSION CORP ACQUIRED VI",MISC,Diversified Operations,US3696041033,Diversified Operation,,"No (NYSE, GE)",XETRA,GERMANY
NSRGY,Nestle S A Adr Spon,Consumer Staple,74.78,1.25,1.699986,-11.5224708,37140,272947,21,"MANUFACTURES BEVERAGES, MILK PRODUCTS, ICE CREAM, CANDIES AN D OTHER FOOD ITEMS WORLDWIDE. BRANDS INCLUDE NESCAFE, NESTEA , COFFEE-MATE, CARNATION, DREYER'S, MAGGI, HOT POCKETS, LEAN CUISINE, PURINA, FRISKIES, GERBER AND KIT KAT. 2012 REVENUES BY SEGMENT IN %: BEVERAGES 30; MILK PRODUCTS AND ICE CREA M 19; PREPARED DISHES AND COOKING AIDS 16; PETCARE 12; CONFE CTIONARY 12; AND NUTRITION 11. NET REVENUES OUTSIDE OF EUROP E TOTALED 71%.",FOOD/BEV,Food-Packaged,US6410694060,Food,SWITZERLAND,Yes,OTC,UNITED STATES
GEBC.BE,General Elec.Cert. (Bru),Capital Equipment,19.8,0.01,0.050530571,-6.867845994,19,270607,,,MISC,Diversified Operations,BE0004609500,Diversified Operation,,Yes,BRUSSELS,BELGIUM
MSFT.HK,Microsoft (Hkg),Technology,250,0,0,4900,5,269133,12,"MICROSOFT CORPORATION IS ENGAGED IN DEVELOPING, LICENSING AND SUPPORTING A RANGE OF SOFTWARE PRODUCTS AND SERVICES. THE COMPANY OPERATES IN FIVE SEGMENTS: WINDOWS & WINDOWS LIVE DIVISION (WINDOWS DIVISION), SERVER AND TOOLS, ONLINE SERVICES DIVISION (OSD), MICROSOFT BUSINESS DIVISION (MBD), AND ENTERTAINMENT AND DEVICES DIVISION (EDD). THE COMPANY'S PRODUCTS INCLUDE OPERATING SYSTEMS FOR PERSONAL COMPUTERS (PCS), SERVERS, PHONES, AND OTHER INTELLIGENT DEVICES; SERVER APPLICATIONS FOR DISTRIBUTED COMPUTING ENVIRONMENTS; PRODUCTIVITY APPLICATIONS; BUSINESS SOLUTION APPLICATIONS; DESKTOP AND SERVER MANAGEMENT TOOLS; SOFTWARE DEVELOPMENT TOOLS; VIDEO GAMES, AND ONLINE ADVERTISING. IT ALSO DESIGNS AND SELLS HARDWARE, INCLUDING THE XBOX 360 GAMING AND ENTERTAINMENT CONSOLE. IN SEPTEMBER 2013, ERICSSON COMPLETED THE ACQUISITION OF MICROSOFT'S MEDIAROOM BUSINESS AND TV SOLUTION. EFFECTIVE OCTOBER 23, 2013",SOFTWARE,Computer Sftwr-Desktop,US5949181045,Computer-Software,,,HONG KONG,HONG KONG
